Candidate,Target,Assignments,ProgramPath,ExecutionResult,Label,Accepted,Error,Prompt
1,T,"main:menu->selected:1=0
main:menu->size:1=1
main:action_id:1=0
",/home/quasar/Documents/FocusTNT/results_InputGeneration/FSE/loop/Using_Erroneous_Condition_1_T/input_generator_artifacts/generated_programs/Using_Erroneous_Condition_1_T_TestCase1.c,COMPLETED,T,true,,"You generate concrete values for nondeterministic inputs in a C/C++ program.
Your goal is to produce ONE complete assignment set that is likely to make the program terminate.

Important rules:
1. Return a value for EVERY listed nondeterministic input ID.
2. Use each ID exactly once.
3. Respect the declared C/C++ type.
4. For an array, return the value as an array containing exactly the required number of elements.
5. For char arrays, each element must be exactly one character. Return the character itself without C single quotes.
6. Prefer small-magnitude values unless larger values are necessary to achieve the requested execution behavior.

Nondeterministic inputs:
- id: main:menu->selected:1, type: int
- id: main:menu->size:1, type: int
- id: main:action_id:1, type: int

Program:
extern int __VERIFIER_nondet_int(void);
/*
Commit Number: 0a8633d07e660813f630e4ab389bb4da9be8bb63
URL: https://github.com/rkd77/elinks/commit/0a8633d07e660813f630e4ab389bb4da9be8bb63
Project Name: elinks
License: GPL2
termination: TRUE
*/
typedef struct Node{
    int size;
    int selected;
}Node;



int main()
{
    Node* menu =(Node*)malloc(sizeof(Node));
    menu->selected = __VERIFIER_nondet_int();
    menu->size = __VERIFIER_nondet_int();
    if( menu->selected <= -2 || menu->size < 1 )
        return 0;
    int pos = menu->selected;
    int direction;
    int action_id =  __VERIFIER_nondet_int();
    if( action_id > 0 && pos >= 1 )
    {
        pos--;
        direction = -1;
    }
    else
    {
        pos++;
        direction = 1;
    }
    pos %= menu->size;
    int start = pos;
    do{
        pos += direction;
        if( pos == menu->size ) pos = 0;
        else if( pos < 0 ) pos = menu -> size - 1;
    }while( pos != start );
    return 0;
}

"
2,T,"main:menu->selected:1=1
main:menu->size:1=5
main:action_id:1=2
",/home/quasar/Documents/FocusTNT/results_InputGeneration/FSE/loop/Using_Erroneous_Condition_1_T/input_generator_artifacts/generated_programs/Using_Erroneous_Condition_1_T_TestCase2.c,COMPLETED,T,true,,"You generate concrete values for nondeterministic inputs in a C/C++ program.
Your goal is to produce ONE complete assignment set that is likely to make the program terminate.

Important rules:
1. Return a value for EVERY listed nondeterministic input ID.
2. Use each ID exactly once.
3. Respect the declared C/C++ type.
4. For an array, return the value as an array containing exactly the required number of elements.
5. For char arrays, each element must be exactly one character. Return the character itself without C single quotes.
6. Prefer small-magnitude values unless larger values are necessary to achieve the requested execution behavior.

Nondeterministic inputs:
- id: main:menu->selected:1, type: int
- id: main:menu->size:1, type: int
- id: main:action_id:1, type: int

Previously generated assignment sets are listed below. Generate a materially different set and do not duplicate any of them.
Previous 1: main:menu->selected:1=0; main:menu->size:1=1; main:action_id:1=0; 

Program:
extern int __VERIFIER_nondet_int(void);
/*
Commit Number: 0a8633d07e660813f630e4ab389bb4da9be8bb63
URL: https://github.com/rkd77/elinks/commit/0a8633d07e660813f630e4ab389bb4da9be8bb63
Project Name: elinks
License: GPL2
termination: TRUE
*/
typedef struct Node{
    int size;
    int selected;
}Node;



int main()
{
    Node* menu =(Node*)malloc(sizeof(Node));
    menu->selected = __VERIFIER_nondet_int();
    menu->size = __VERIFIER_nondet_int();
    if( menu->selected <= -2 || menu->size < 1 )
        return 0;
    int pos = menu->selected;
    int direction;
    int action_id =  __VERIFIER_nondet_int();
    if( action_id > 0 && pos >= 1 )
    {
        pos--;
        direction = -1;
    }
    else
    {
        pos++;
        direction = 1;
    }
    pos %= menu->size;
    int start = pos;
    do{
        pos += direction;
        if( pos == menu->size ) pos = 0;
        else if( pos < 0 ) pos = menu -> size - 1;
    }while( pos != start );
    return 0;
}

"
3,T,"main:menu->selected:1=-1
main:menu->size:1=1
main:action_id:1=1
",/home/quasar/Documents/FocusTNT/results_InputGeneration/FSE/loop/Using_Erroneous_Condition_1_T/input_generator_artifacts/generated_programs/Using_Erroneous_Condition_1_T_TestCase3.c,COMPLETED,T,true,,"You generate concrete values for nondeterministic inputs in a C/C++ program.
Your goal is to produce ONE complete assignment set that is likely to make the program terminate.

Important rules:
1. Return a value for EVERY listed nondeterministic input ID.
2. Use each ID exactly once.
3. Respect the declared C/C++ type.
4. For an array, return the value as an array containing exactly the required number of elements.
5. For char arrays, each element must be exactly one character. Return the character itself without C single quotes.
6. Prefer small-magnitude values unless larger values are necessary to achieve the requested execution behavior.

Nondeterministic inputs:
- id: main:menu->selected:1, type: int
- id: main:menu->size:1, type: int
- id: main:action_id:1, type: int

Previously generated assignment sets are listed below. Generate a materially different set and do not duplicate any of them.
Previous 1: main:menu->selected:1=0; main:menu->size:1=1; main:action_id:1=0; 
Previous 2: main:menu->selected:1=1; main:menu->size:1=5; main:action_id:1=2; 

Program:
extern int __VERIFIER_nondet_int(void);
/*
Commit Number: 0a8633d07e660813f630e4ab389bb4da9be8bb63
URL: https://github.com/rkd77/elinks/commit/0a8633d07e660813f630e4ab389bb4da9be8bb63
Project Name: elinks
License: GPL2
termination: TRUE
*/
typedef struct Node{
    int size;
    int selected;
}Node;



int main()
{
    Node* menu =(Node*)malloc(sizeof(Node));
    menu->selected = __VERIFIER_nondet_int();
    menu->size = __VERIFIER_nondet_int();
    if( menu->selected <= -2 || menu->size < 1 )
        return 0;
    int pos = menu->selected;
    int direction;
    int action_id =  __VERIFIER_nondet_int();
    if( action_id > 0 && pos >= 1 )
    {
        pos--;
        direction = -1;
    }
    else
    {
        pos++;
        direction = 1;
    }
    pos %= menu->size;
    int start = pos;
    do{
        pos += direction;
        if( pos == menu->size ) pos = 0;
        else if( pos < 0 ) pos = menu -> size - 1;
    }while( pos != start );
    return 0;
}

"
4,T,"main:menu->selected:1=2
main:menu->size:1=4
main:action_id:1=0
",/home/quasar/Documents/FocusTNT/results_InputGeneration/FSE/loop/Using_Erroneous_Condition_1_T/input_generator_artifacts/generated_programs/Using_Erroneous_Condition_1_T_TestCase4.c,COMPLETED,T,true,,"You generate concrete values for nondeterministic inputs in a C/C++ program.
Your goal is to produce ONE complete assignment set that is likely to make the program terminate.

Important rules:
1. Return a value for EVERY listed nondeterministic input ID.
2. Use each ID exactly once.
3. Respect the declared C/C++ type.
4. For an array, return the value as an array containing exactly the required number of elements.
5. For char arrays, each element must be exactly one character. Return the character itself without C single quotes.
6. Prefer small-magnitude values unless larger values are necessary to achieve the requested execution behavior.

Nondeterministic inputs:
- id: main:menu->selected:1, type: int
- id: main:menu->size:1, type: int
- id: main:action_id:1, type: int

Previously generated assignment sets are listed below. Generate a materially different set and do not duplicate any of them.
Previous 1: main:menu->selected:1=0; main:menu->size:1=1; main:action_id:1=0; 
Previous 2: main:menu->selected:1=1; main:menu->size:1=5; main:action_id:1=2; 
Previous 3: main:menu->selected:1=-1; main:menu->size:1=1; main:action_id:1=1; 

Program:
extern int __VERIFIER_nondet_int(void);
/*
Commit Number: 0a8633d07e660813f630e4ab389bb4da9be8bb63
URL: https://github.com/rkd77/elinks/commit/0a8633d07e660813f630e4ab389bb4da9be8bb63
Project Name: elinks
License: GPL2
termination: TRUE
*/
typedef struct Node{
    int size;
    int selected;
}Node;



int main()
{
    Node* menu =(Node*)malloc(sizeof(Node));
    menu->selected = __VERIFIER_nondet_int();
    menu->size = __VERIFIER_nondet_int();
    if( menu->selected <= -2 || menu->size < 1 )
        return 0;
    int pos = menu->selected;
    int direction;
    int action_id =  __VERIFIER_nondet_int();
    if( action_id > 0 && pos >= 1 )
    {
        pos--;
        direction = -1;
    }
    else
    {
        pos++;
        direction = 1;
    }
    pos %= menu->size;
    int start = pos;
    do{
        pos += direction;
        if( pos == menu->size ) pos = 0;
        else if( pos < 0 ) pos = menu -> size - 1;
    }while( pos != start );
    return 0;
}

"
5,T,"main:menu->selected:1=1
main:menu->size:1=7
main:action_id:1=5
",/home/quasar/Documents/FocusTNT/results_InputGeneration/FSE/loop/Using_Erroneous_Condition_1_T/input_generator_artifacts/generated_programs/Using_Erroneous_Condition_1_T_TestCase5.c,COMPLETED,T,true,,"You generate concrete values for nondeterministic inputs in a C/C++ program.
Your goal is to produce ONE complete assignment set that is likely to make the program terminate.

Important rules:
1. Return a value for EVERY listed nondeterministic input ID.
2. Use each ID exactly once.
3. Respect the declared C/C++ type.
4. For an array, return the value as an array containing exactly the required number of elements.
5. For char arrays, each element must be exactly one character. Return the character itself without C single quotes.
6. Prefer small-magnitude values unless larger values are necessary to achieve the requested execution behavior.

Nondeterministic inputs:
- id: main:menu->selected:1, type: int
- id: main:menu->size:1, type: int
- id: main:action_id:1, type: int

Previously generated assignment sets are listed below. Generate a materially different set and do not duplicate any of them.
Previous 1: main:menu->selected:1=0; main:menu->size:1=1; main:action_id:1=0; 
Previous 2: main:menu->selected:1=1; main:menu->size:1=5; main:action_id:1=2; 
Previous 3: main:menu->selected:1=-1; main:menu->size:1=1; main:action_id:1=1; 
Previous 4: main:menu->selected:1=2; main:menu->size:1=4; main:action_id:1=0; 

Program:
extern int __VERIFIER_nondet_int(void);
/*
Commit Number: 0a8633d07e660813f630e4ab389bb4da9be8bb63
URL: https://github.com/rkd77/elinks/commit/0a8633d07e660813f630e4ab389bb4da9be8bb63
Project Name: elinks
License: GPL2
termination: TRUE
*/
typedef struct Node{
    int size;
    int selected;
}Node;



int main()
{
    Node* menu =(Node*)malloc(sizeof(Node));
    menu->selected = __VERIFIER_nondet_int();
    menu->size = __VERIFIER_nondet_int();
    if( menu->selected <= -2 || menu->size < 1 )
        return 0;
    int pos = menu->selected;
    int direction;
    int action_id =  __VERIFIER_nondet_int();
    if( action_id > 0 && pos >= 1 )
    {
        pos--;
        direction = -1;
    }
    else
    {
        pos++;
        direction = 1;
    }
    pos %= menu->size;
    int start = pos;
    do{
        pos += direction;
        if( pos == menu->size ) pos = 0;
        else if( pos < 0 ) pos = menu -> size - 1;
    }while( pos != start );
    return 0;
}

"
6,T,"main:menu->selected:1=0
main:menu->size:1=3
main:action_id:1=3
",/home/quasar/Documents/FocusTNT/results_InputGeneration/FSE/loop/Using_Erroneous_Condition_1_T/input_generator_artifacts/generated_programs/Using_Erroneous_Condition_1_T_TestCase6.c,COMPLETED,T,true,,"You generate concrete values for nondeterministic inputs in a C/C++ program.
Your goal is to produce ONE complete assignment set that is likely to make the program terminate.

Important rules:
1. Return a value for EVERY listed nondeterministic input ID.
2. Use each ID exactly once.
3. Respect the declared C/C++ type.
4. For an array, return the value as an array containing exactly the required number of elements.
5. For char arrays, each element must be exactly one character. Return the character itself without C single quotes.
6. Prefer small-magnitude values unless larger values are necessary to achieve the requested execution behavior.

Nondeterministic inputs:
- id: main:menu->selected:1, type: int
- id: main:menu->size:1, type: int
- id: main:action_id:1, type: int

Previously generated assignment sets are listed below. Generate a materially different set and do not duplicate any of them.
Previous 1: main:menu->selected:1=0; main:menu->size:1=1; main:action_id:1=0; 
Previous 2: main:menu->selected:1=1; main:menu->size:1=5; main:action_id:1=2; 
Previous 3: main:menu->selected:1=-1; main:menu->size:1=1; main:action_id:1=1; 
Previous 4: main:menu->selected:1=2; main:menu->size:1=4; main:action_id:1=0; 
Previous 5: main:menu->selected:1=1; main:menu->size:1=7; main:action_id:1=5; 

Program:
extern int __VERIFIER_nondet_int(void);
/*
Commit Number: 0a8633d07e660813f630e4ab389bb4da9be8bb63
URL: https://github.com/rkd77/elinks/commit/0a8633d07e660813f630e4ab389bb4da9be8bb63
Project Name: elinks
License: GPL2
termination: TRUE
*/
typedef struct Node{
    int size;
    int selected;
}Node;



int main()
{
    Node* menu =(Node*)malloc(sizeof(Node));
    menu->selected = __VERIFIER_nondet_int();
    menu->size = __VERIFIER_nondet_int();
    if( menu->selected <= -2 || menu->size < 1 )
        return 0;
    int pos = menu->selected;
    int direction;
    int action_id =  __VERIFIER_nondet_int();
    if( action_id > 0 && pos >= 1 )
    {
        pos--;
        direction = -1;
    }
    else
    {
        pos++;
        direction = 1;
    }
    pos %= menu->size;
    int start = pos;
    do{
        pos += direction;
        if( pos == menu->size ) pos = 0;
        else if( pos < 0 ) pos = menu -> size - 1;
    }while( pos != start );
    return 0;
}

"
7,T,"main:menu->selected:1=3
main:menu->size:1=4
main:action_id:1=1
",/home/quasar/Documents/FocusTNT/results_InputGeneration/FSE/loop/Using_Erroneous_Condition_1_T/input_generator_artifacts/generated_programs/Using_Erroneous_Condition_1_T_TestCase7.c,COMPLETED,T,true,,"You generate concrete values for nondeterministic inputs in a C/C++ program.
Your goal is to produce ONE complete assignment set that is likely to make the program terminate.

Important rules:
1. Return a value for EVERY listed nondeterministic input ID.
2. Use each ID exactly once.
3. Respect the declared C/C++ type.
4. For an array, return the value as an array containing exactly the required number of elements.
5. For char arrays, each element must be exactly one character. Return the character itself without C single quotes.
6. Prefer small-magnitude values unless larger values are necessary to achieve the requested execution behavior.

Nondeterministic inputs:
- id: main:menu->selected:1, type: int
- id: main:menu->size:1, type: int
- id: main:action_id:1, type: int

Previously generated assignment sets are listed below. Generate a materially different set and do not duplicate any of them.
Previous 1: main:menu->selected:1=0; main:menu->size:1=1; main:action_id:1=0; 
Previous 2: main:menu->selected:1=1; main:menu->size:1=5; main:action_id:1=2; 
Previous 3: main:menu->selected:1=-1; main:menu->size:1=1; main:action_id:1=1; 
Previous 4: main:menu->selected:1=2; main:menu->size:1=4; main:action_id:1=0; 
Previous 5: main:menu->selected:1=1; main:menu->size:1=7; main:action_id:1=5; 
Previous 6: main:menu->selected:1=0; main:menu->size:1=3; main:action_id:1=3; 

Program:
extern int __VERIFIER_nondet_int(void);
/*
Commit Number: 0a8633d07e660813f630e4ab389bb4da9be8bb63
URL: https://github.com/rkd77/elinks/commit/0a8633d07e660813f630e4ab389bb4da9be8bb63
Project Name: elinks
License: GPL2
termination: TRUE
*/
typedef struct Node{
    int size;
    int selected;
}Node;



int main()
{
    Node* menu =(Node*)malloc(sizeof(Node));
    menu->selected = __VERIFIER_nondet_int();
    menu->size = __VERIFIER_nondet_int();
    if( menu->selected <= -2 || menu->size < 1 )
        return 0;
    int pos = menu->selected;
    int direction;
    int action_id =  __VERIFIER_nondet_int();
    if( action_id > 0 && pos >= 1 )
    {
        pos--;
        direction = -1;
    }
    else
    {
        pos++;
        direction = 1;
    }
    pos %= menu->size;
    int start = pos;
    do{
        pos += direction;
        if( pos == menu->size ) pos = 0;
        else if( pos < 0 ) pos = menu -> size - 1;
    }while( pos != start );
    return 0;
}

"
8,T,"main:menu->selected:1=1
main:menu->size:1=2
main:action_id:1=2
",/home/quasar/Documents/FocusTNT/results_InputGeneration/FSE/loop/Using_Erroneous_Condition_1_T/input_generator_artifacts/generated_programs/Using_Erroneous_Condition_1_T_TestCase8.c,COMPLETED,T,true,,"You generate concrete values for nondeterministic inputs in a C/C++ program.
Your goal is to produce ONE complete assignment set that is likely to make the program terminate.

Important rules:
1. Return a value for EVERY listed nondeterministic input ID.
2. Use each ID exactly once.
3. Respect the declared C/C++ type.
4. For an array, return the value as an array containing exactly the required number of elements.
5. For char arrays, each element must be exactly one character. Return the character itself without C single quotes.
6. Prefer small-magnitude values unless larger values are necessary to achieve the requested execution behavior.

Nondeterministic inputs:
- id: main:menu->selected:1, type: int
- id: main:menu->size:1, type: int
- id: main:action_id:1, type: int

Previously generated assignment sets are listed below. Generate a materially different set and do not duplicate any of them.
Previous 1: main:menu->selected:1=0; main:menu->size:1=1; main:action_id:1=0; 
Previous 2: main:menu->selected:1=1; main:menu->size:1=5; main:action_id:1=2; 
Previous 3: main:menu->selected:1=-1; main:menu->size:1=1; main:action_id:1=1; 
Previous 4: main:menu->selected:1=2; main:menu->size:1=4; main:action_id:1=0; 
Previous 5: main:menu->selected:1=1; main:menu->size:1=7; main:action_id:1=5; 
Previous 6: main:menu->selected:1=0; main:menu->size:1=3; main:action_id:1=3; 
Previous 7: main:menu->selected:1=3; main:menu->size:1=4; main:action_id:1=1; 

Program:
extern int __VERIFIER_nondet_int(void);
/*
Commit Number: 0a8633d07e660813f630e4ab389bb4da9be8bb63
URL: https://github.com/rkd77/elinks/commit/0a8633d07e660813f630e4ab389bb4da9be8bb63
Project Name: elinks
License: GPL2
termination: TRUE
*/
typedef struct Node{
    int size;
    int selected;
}Node;



int main()
{
    Node* menu =(Node*)malloc(sizeof(Node));
    menu->selected = __VERIFIER_nondet_int();
    menu->size = __VERIFIER_nondet_int();
    if( menu->selected <= -2 || menu->size < 1 )
        return 0;
    int pos = menu->selected;
    int direction;
    int action_id =  __VERIFIER_nondet_int();
    if( action_id > 0 && pos >= 1 )
    {
        pos--;
        direction = -1;
    }
    else
    {
        pos++;
        direction = 1;
    }
    pos %= menu->size;
    int start = pos;
    do{
        pos += direction;
        if( pos == menu->size ) pos = 0;
        else if( pos < 0 ) pos = menu -> size - 1;
    }while( pos != start );
    return 0;
}

"
9,T,"main:menu->selected:1=5
main:menu->size:1=3
main:action_id:1=-1
",/home/quasar/Documents/FocusTNT/results_InputGeneration/FSE/loop/Using_Erroneous_Condition_1_T/input_generator_artifacts/generated_programs/Using_Erroneous_Condition_1_T_TestCase9.c,COMPLETED,T,true,,"You generate concrete values for nondeterministic inputs in a C/C++ program.
Your goal is to produce ONE complete assignment set that is likely to make the program terminate.

Important rules:
1. Return a value for EVERY listed nondeterministic input ID.
2. Use each ID exactly once.
3. Respect the declared C/C++ type.
4. For an array, return the value as an array containing exactly the required number of elements.
5. For char arrays, each element must be exactly one character. Return the character itself without C single quotes.
6. Prefer small-magnitude values unless larger values are necessary to achieve the requested execution behavior.

Nondeterministic inputs:
- id: main:menu->selected:1, type: int
- id: main:menu->size:1, type: int
- id: main:action_id:1, type: int

Previously generated assignment sets are listed below. Generate a materially different set and do not duplicate any of them.
Previous 1: main:menu->selected:1=0; main:menu->size:1=1; main:action_id:1=0; 
Previous 2: main:menu->selected:1=1; main:menu->size:1=5; main:action_id:1=2; 
Previous 3: main:menu->selected:1=-1; main:menu->size:1=1; main:action_id:1=1; 
Previous 4: main:menu->selected:1=2; main:menu->size:1=4; main:action_id:1=0; 
Previous 5: main:menu->selected:1=1; main:menu->size:1=7; main:action_id:1=5; 
Previous 6: main:menu->selected:1=0; main:menu->size:1=3; main:action_id:1=3; 
Previous 7: main:menu->selected:1=3; main:menu->size:1=4; main:action_id:1=1; 
Previous 8: main:menu->selected:1=1; main:menu->size:1=2; main:action_id:1=2; 

Program:
extern int __VERIFIER_nondet_int(void);
/*
Commit Number: 0a8633d07e660813f630e4ab389bb4da9be8bb63
URL: https://github.com/rkd77/elinks/commit/0a8633d07e660813f630e4ab389bb4da9be8bb63
Project Name: elinks
License: GPL2
termination: TRUE
*/
typedef struct Node{
    int size;
    int selected;
}Node;



int main()
{
    Node* menu =(Node*)malloc(sizeof(Node));
    menu->selected = __VERIFIER_nondet_int();
    menu->size = __VERIFIER_nondet_int();
    if( menu->selected <= -2 || menu->size < 1 )
        return 0;
    int pos = menu->selected;
    int direction;
    int action_id =  __VERIFIER_nondet_int();
    if( action_id > 0 && pos >= 1 )
    {
        pos--;
        direction = -1;
    }
    else
    {
        pos++;
        direction = 1;
    }
    pos %= menu->size;
    int start = pos;
    do{
        pos += direction;
        if( pos == menu->size ) pos = 0;
        else if( pos < 0 ) pos = menu -> size - 1;
    }while( pos != start );
    return 0;
}

"
10,T,"main:menu->selected:1=0
main:menu->size:1=1
main:action_id:1=1
",/home/quasar/Documents/FocusTNT/results_InputGeneration/FSE/loop/Using_Erroneous_Condition_1_T/input_generator_artifacts/generated_programs/Using_Erroneous_Condition_1_T_TestCase10.c,COMPLETED,T,true,,"You generate concrete values for nondeterministic inputs in a C/C++ program.
Your goal is to produce ONE complete assignment set that is likely to make the program terminate.

Important rules:
1. Return a value for EVERY listed nondeterministic input ID.
2. Use each ID exactly once.
3. Respect the declared C/C++ type.
4. For an array, return the value as an array containing exactly the required number of elements.
5. For char arrays, each element must be exactly one character. Return the character itself without C single quotes.
6. Prefer small-magnitude values unless larger values are necessary to achieve the requested execution behavior.

Nondeterministic inputs:
- id: main:menu->selected:1, type: int
- id: main:menu->size:1, type: int
- id: main:action_id:1, type: int

Previously generated assignment sets are listed below. Generate a materially different set and do not duplicate any of them.
Previous 1: main:menu->selected:1=0; main:menu->size:1=1; main:action_id:1=0; 
Previous 2: main:menu->selected:1=1; main:menu->size:1=5; main:action_id:1=2; 
Previous 3: main:menu->selected:1=-1; main:menu->size:1=1; main:action_id:1=1; 
Previous 4: main:menu->selected:1=2; main:menu->size:1=4; main:action_id:1=0; 
Previous 5: main:menu->selected:1=1; main:menu->size:1=7; main:action_id:1=5; 
Previous 6: main:menu->selected:1=0; main:menu->size:1=3; main:action_id:1=3; 
Previous 7: main:menu->selected:1=3; main:menu->size:1=4; main:action_id:1=1; 
Previous 8: main:menu->selected:1=1; main:menu->size:1=2; main:action_id:1=2; 
Previous 9: main:menu->selected:1=5; main:menu->size:1=3; main:action_id:1=-1; 

Program:
extern int __VERIFIER_nondet_int(void);
/*
Commit Number: 0a8633d07e660813f630e4ab389bb4da9be8bb63
URL: https://github.com/rkd77/elinks/commit/0a8633d07e660813f630e4ab389bb4da9be8bb63
Project Name: elinks
License: GPL2
termination: TRUE
*/
typedef struct Node{
    int size;
    int selected;
}Node;



int main()
{
    Node* menu =(Node*)malloc(sizeof(Node));
    menu->selected = __VERIFIER_nondet_int();
    menu->size = __VERIFIER_nondet_int();
    if( menu->selected <= -2 || menu->size < 1 )
        return 0;
    int pos = menu->selected;
    int direction;
    int action_id =  __VERIFIER_nondet_int();
    if( action_id > 0 && pos >= 1 )
    {
        pos--;
        direction = -1;
    }
    else
    {
        pos++;
        direction = 1;
    }
    pos %= menu->size;
    int start = pos;
    do{
        pos += direction;
        if( pos == menu->size ) pos = 0;
        else if( pos < 0 ) pos = menu -> size - 1;
    }while( pos != start );
    return 0;
}

"
